8.47485,8.81229,,5327.64591,5327.91009,,Latitudes,,difference,squared difference
3.88389,3.88056,,5323.71429,5323.71651,,3.88389,3.88056,0.00332999988116978,1.10889E-05
3.88833,3.88389,,5323.72095,5323.71429,,3.88833,3.88389,0.00443999997302003,1.97136E-05
3.89055,3.88833,,5323.71984,5323.72095,,3.89055,3.88833,0.00222000018368007,4.9284E-06
3.89499,3.89055,,5323.72206,5323.71984,,3.89499,3.89055,0.00443999997302003,1.97136E-05
3.89832,3.89499,,5323.72206,5323.72206,,3.89832,3.89499,0.00332999988116978,1.10889E-05
3.90054,3.89832,,5323.72317,5323.72206,,3.90054,3.89832,0.00222000018369028,4.9284E-06
3.90387,3.90054,,5323.72428,5323.72317,,3.90387,3.90054,0.00332999988116978,1.10889E-05
3.90609,3.90387,,5323.72428,5323.72428,,3.90609,3.90387,0.00221999978933018,4.9284E-06
3.90942,3.90609,,5323.71984,5323.72428,,3.90942,3.90609,0.00333000027552988,1.10889E-05
3.91608,3.90942,,5323.71873,5323.71984,,3.91608,3.90942,0.00665999976235021,4.43556E-05
3.92052,3.91608,,5323.7154,5323.71873,,3.92052,3.91608,0.00443999997300981,1.97136E-05
3.92163,3.92052,,5323.71096,5323.7154,,3.92163,3.92052,0.00111000009184004,1.2321E-06
3.92385,3.92163,,5323.70874,5323.71096,,3.92385,3.92163,0.00222000018368984,4.9284E-06
3.92829,3.92385,,5323.71318,5323.70874,,3.92829,3.92385,0.00443999997301026,1.97136E-05
3.93162,3.92829,,5323.71429,5323.71318,,3.93162,3.92829,0.00332999988117999,1.10889E-05
3.93939,3.93162,,5323.71984,5323.71429,,3.93939,3.93162,0.0077699998541898,6.03729E-05
3.94161,3.93939,,5323.71651,5323.71984,,3.94161,3.93939,0.00222000018368007,4.9284E-06
3.94494,3.94161,,5323.7154,5323.71651,,3.94494,3.94161,0.00332999988117999,1.10889E-05
3.94605,3.94494,,5323.71207,5323.7154,,3.94605,3.94494,0.00111000009184004,1.2321E-06
3.94716,3.94605,,5323.70874,5323.71207,,3.94716,3.94605,0.00111000009184004,1.2321E-06
3.94938,3.94716,,5323.70652,5323.70874,,3.94938,3.94716,0.00222000018368007,4.9284E-06
3.9516,3.94938,,5323.70763,5323.70652,,3.9516,3.94938,0.00221999978933995,4.9284E-06
4.05039,3.9516,,5324.83206,5323.70763,,4.05039,3.9516,0.0987899998925403,0.009759464
2.78721,4.05039,,5325.55467,5324.83206,,2.78721,4.05039,-1.26318000001291,1.595623712
1.75047,2.78721,,5325.12954,5325.55467,,1.75047,2.78721,-1.03673999981168,1.074829827
1.24875,1.75047,,5325.47697,5325.12954,,1.24875,1.75047,-0.50172000010563,0.251722959
0.92019,1.24875,,5325.59685,5325.47697,,0.92019,1.24875,-0.328559999974934,0.107951674
